product_average_rating,product_reviews_count,product_url,product_orignal_price,product_sale_price,product_discount,product_image,product_brand,product_name,product_brand_id,product_sku,seller_name,seller_percentage,seller_rate,seller_rate_level,seller_seller_id,seller_shipment_time,seller_url
5.0,3,https://www.daraz.pk/products/-i239763942-s1459014424.html?search=1,1000,564,-44%,https://static-01.daraz.pk/p/f9f0a7e139364b9f917d87cb64fdab1d.jpg,No Brand,Black Printed Gym T Shirt Beast Mode Tshirt Weight Lifting Training Dumbell Bodybuilding Gym wear Tee Mens Short Sleeves Gym T-Shirt,39704,239763942,Zaib-Estore,89%,0.89,3,6005013579531,100%,//www.daraz.pk/shop/zaib-estore/?itemId=239763942&channelSource=pdp
5.0,2,https://www.daraz.pk/products/-i358188889-s1801139206.html?search=1,600,355,-41%,https://static-01.daraz.pk/p/ff018572cbcb0a92bc84f8a2b15a9c9c.jpg,No Brand,New White T-Shirt ASLi Hai printed Tshirt Basic Round Neck Basic Round Neck,39704,358188889,amjad store 1643017839,91%,0.91,3,6005016192375,93%,//www.daraz.pk/shop/amjad-store-1643017839/?itemId=358188889&channelSource=pdp
3.0,1,https://www.daraz.pk/products/4-i121650570-s1277578180.html?search=1,1759,927,-47%,https://static-01.daraz.pk/p/48af46e6e99ae1007559f05c303c40d3.jpg,No Brand,Pack of 4 Sandos Shirt Sports Running Gymming For Men,39704,121650570,shazi,82%,0.82,3,1017316,100%,//www.daraz.pk/shop/shazi/?itemId=121650570&channelSource=pdp
0.0,0,https://www.daraz.pk/products/summer-half-sleeves-new-printed-tshirt-for-men-i398288587-s1926855471.html?search=1,659,389,-41%,https://static-01.daraz.pk/p/1ccf09ae62987f7e4e1168c564f43717.jpg,No Brand,Summer Half Sleeves New Printed Tshirt For Men,39704,398288587,JZgxmFRC,91%,0.91,3,6005032557528,100%,//www.daraz.pk/shop/jzgxmfrc/?itemId=398288587&channelSource=pdp
0.0,0,https://www.daraz.pk/products/-i395266645-s1920385008.html?search=1,750,425,-43%,https://static-01.daraz.pk/p/08b8d53f8bc848fbab79f71ffe4f7b75.jpg,No Brand,Yellow  Elegant Stylish Half Sleeves Lining T-Shirt for men,39704,395266645,Naz.Fashion,85%,0.85,3,6005043069231,100%,//www.daraz.pk/shop/oxexsoxh/?itemId=395266645&channelSource=pdp
5.0,18,https://www.daraz.pk/products/new-stylish-design-lining-full-sleeve-t-shirts-for-men-i262307209-s1480067304.html?search=1,950.0,700.0,-26%,https://static-01.daraz.pk/p/c91fa305df60260d0cb20f94dda9e3cd.jpg,No Brand,New Stylish Design Lining Full Sleeve T Shirts for Men,39704,262307209,S-M Fashion Store,90%,0.9,3,6005013777297,100%,//www.daraz.pk/shop/s-m-fashion-store/?itemId=262307209&channelSource=pdp
5.0,4,https://www.daraz.pk/products/-i272890836-s1485990805.html?search=1,2899,1199,-59%,https://static-01.daraz.pk/p/67c7992e6a480f9547537354a36bd62e.jpg,No Brand,Markhor Printed Casual T shirt And Trouser Summer Arrival Top Quality For Men,39704,272890836,Multi Attire,86%,0.86,3,6005012508156,100%,//www.daraz.pk/shop/multi-attire/?itemId=272890836&channelSource=pdp
0.0,0,https://www.daraz.pk/products/-i405438841-s1951626763.html?search=1,1299,999,-23%,https://static-01.daraz.pk/p/93bef473cdd23d222516a7239c43ebfa.jpg,No Brand,Trendy markhor Printed Tracksuit For Men Soft and Comfortable Fabric T Shirt and Trouser Printed Tracksuit,39704,405438841,ANA2,86%,0.86,3,6005026518187,100%,//www.daraz.pk/shop/ana2/?itemId=405438841&channelSource=pdp
0.0,0,https://www.daraz.pk/products/amazing-summer-collection-free-fire-gaming-printed-smart-fit-game-lovers-trendy-printed-o-neck-half-sleeves-t-shirt-for-men-n-boys-i394302342-s1918478144.html?search=1,679,356,-48%,https://static-01.daraz.pk/p/bd68eba50524b88d19051f0c9db1a4d5.jpg,No Brand,Amazing Summer Collection Free Fire Gaming Printed Smart Fit game Lovers Trendy Printed O-Neck Half Sleeves T Shirt For Men N Boys,39704,394302342,Fashion Lab,84%,0.84,3,6005012925047,97%,//www.daraz.pk/shop/fashion-lab/?itemId=394302342&channelSource=pdp
5.0,1,https://www.daraz.pk/products/2022-i279617241-s1505617209.html?search=1,2199,1149,-48%,https://static-01.daraz.pk/p/19075bc80f95eb206d456e267bc39a27.jpg,No Brand,NEW Juventus Logo Tshirt and Trouser Trendy Summer Tracksuit 2022 Arrival  Round Neck T-shirts For Men,39704,279617241,Sid Outfits,76%,0.76,3,6005013237453,100%,//www.daraz.pk/shop/sid-outfits/?itemId=279617241&channelSource=pdp
